Question,Answer
Wake up ne demektir?,Uyanmak
Wash face ne demektir?,Yüz yıkamak
Have breakfast ne demektir?,Kahvaltı yapmak
Brush teeth ne demektir?,Diş fırçalamak
Comb hair ne demektir?,Saç taramak
Get dressed ne demektir?,Giyinmek
Go to school ne demektir?,Okula gitmek
Get on the bus ne demektir?,Otobüse binmek
Go shopping ne demektir?,Alışverişe gitmek
Have lunch ne demektir?,Öğle yemeği yemek
Meet friends ne demektir?,Arkadaşlarla buluşmak
Watch TV ne demektir?,Televizyon izlemek
Do homework ne demektir?,Ödev yapmak
Read a book ne demektir?,Kitap okumak
Have dinner ne demektir?,Akşam yemeği yemek
Have a shower ne demektir?,Duş almak
Go to bed ne demektir?,Yatmak
Monday ne demektir?,Pazartesi
Friday ne demektir?,Cuma
Sunday ne demektir?,Pazar
In the morning ne demektir?,Sabahleyin
In the afternoon ne demektir?,Öğleden sonra
In the evening ne demektir?,Akşamleyin
At night ne demektir?,Geceleyin
"""What time do you...?"" ne demektir?",Saat kaçta ... yaparsın?
"""When do you...?"" ne demektir?",Ne zaman ... yaparsın?
"""What do you do in the morning?"" ne demektir?",Sabah ne yaparsın?
"""I wake up at eight o'clock."" ne demektir?",Saat sekizde uyanırım.
"""I have dinner in the evening."" ne demektir?",Akşamleyin akşam yemeği yerim.
"""I go to school on Mondays."" ne demektir?",Pazartesileri okula giderim.
