Question,Answer
Hair ne demektir?,Saç
Short hair ne demektir?,Kısa saç
Long hair ne demektir?,Uzun saç
Blonde hair ne demektir?,Sarı saç
Dark hair ne demektir?,Koyu saç
Straight hair ne demektir?,Düz saç
Wavy hair ne demektir?,Dalgalı saç
Curly hair ne demektir?,Kıvırcık saç
Blue eyes ne demektir?,Mavi gözler
Brown eyes ne demektir?,Kahverengi gözler
Green eyes ne demektir?,Yeşil gözler
Beard ne demektir?,Sakal
Moustache ne demektir?,Bıyık
Glasses ne demektir?,Gözlük
Short ne demektir?,Kısa
Tall ne demektir?,Uzun
Slim ne demektir?,Zayıf
Plump ne demektir?,Kilolu
Beautiful ne demektir?,Güzel
Handsome ne demektir?,Yakışıklı
"""What do you look like?"" ne demektir?",Nasıl görünüyorsun?
"""What does he look like?"" ne demektir?",O nasıl görünüyor?
"""What does she look like?"" ne demektir?",O nasıl görünüyor?
"""I am slim."" ne demektir?",Ben zayıfım.
"""I have got green eyes."" ne demektir?",Yeşil gözlere sahibim.
"""He has got a moustache."" ne demektir?",Onun bıyığı var.
"""Does he have a beard?"" ne demektir?",Onun sakalı var mı?
"""Yes, he does."" ne demektir?","Evet, var."
"""Does she have a hair band?"" ne demektir?",Onun saç bandı var mı?
"""Is her hair curly?"" ne demektir?",Onun saçı kıvırcık mı?
