Question,Answer
Teacher ne demektir?,Öğretmen
Student ne demektir?,Öğrenci
Map ne demektir?,Harita
Flag ne demektir?,Bayrak
Chair ne demektir?,Sandalye
Door ne demektir?,Kapı
Window ne demektir?,Pencere
Board ne demektir?,Tahta
Pencil ne demektir?,Kurşun kalem
Pen ne demektir?,Tükenmez kalem
Eraser ne demektir?,Silgi
Sharpener ne demektir?,Kalemtıraş
Ruler ne demektir?,Cetvel
Scissors ne demektir?,Makas
School bag ne demektir?,Okul çantası
Notebook ne demektir?,Defter
Dictionary ne demektir?,Sözlük
"""Be quiet!"" ne demektir?",Sessiz ol
"""Raise your hand!"" ne demektir?",Elini kaldır
"""Open the door!"" ne demektir?",Kapıyı aç
"""Close the window!"" ne demektir?",Pencereyi kapat
"""Sit down!"" ne demektir?",Otur
"""Stand up!"" ne demektir?",Ayağa kalk
"""Come in!"" ne demektir?",İçeri gir
"""Listen to me!"" ne demektir?",Beni dinle
İzin isterken hangi kalıp kullanılır?,May I ... ?
"""May I go to the toilet?"" ne demektir?",Tuvalete gidebilir miyim?
"""Yes, you may."" ne demektir?","Evet, olur."
"""Sorry, not right now."" ne demektir?",Şu an olmaz.
100 sayısının İngilizcesi nedir?,One hundred
