Question,Answer
Tek heceli sıfatları en üstünlük (superlative) haline getirmek için sıfatın sonuna hangi takı eklenir?,-est
Birden fazla heceli sıfatlarda en üstünlük (superlative) anlamı katmak için sıfatın önüne hangi ifade getirilir?,the most
"Good"" (iyi) sıfatının düzensiz en üstünlük (superlative) hali nedir?",the best
"Bad"" (kötü) sıfatının düzensiz en üstünlük (superlative) hali nedir?",the worst
"Far"" (uzak) sıfatının düzensiz en üstünlük (superlative) hali nedir?",the furthest
"Little"" (az) sıfatının düzensiz en üstünlük (superlative) hali nedir?",the least
"I prefer historic sites _____ modern buildings."" cümlesindeki boşluğu hangi kelime tamamlar?",to
"I would rather travel by plane _____ by bus."" cümlesindeki boşluğu hangi kelime tamamlar?",than
"Benim düşünceme göre"" anlamına gelen ve görüş bildirmek için kullanılan İngilizce ifade nedir?",In my opinion
"Bana göre"" anlamına gelen ve görüş bildirmek için kullanılan İngilizce ifade nedir?",To me
"Sanırım / Tahmin ediyorum"" anlamında kullanılan görüş bildirme ifadesi nedir?",I guess
"İnanıyorum ki"" anlamında kullanılan görüş bildirme ifadesi nedir?",I believe
"Zannediyorum / Farz ediyorum"" anlamında kullanılan görüş bildirme ifadesi nedir?",I suppose
"Düşünüyorum / Bence"" anlamında kullanılan en yaygın görüş bildirme ifadesi nedir?",I think
Term: Abroad,Definition: Yurt dışı
Term: Accommodation,"Definition: Konaklama, kalacak yer"
Term: All-inclusive,Definition: Her şey dahil
Term: Amazing,"Definition: İnanılmaz, şaşırtıcı"
Term: Amphitheater,Definition: Amfitiyatro
Term: Ancient,Definition: Antik
Term: Architecture,Definition: Mimari
Term: Attraction,Definition: Gezip görülmek istenen yer
Term: Attractive,"Definition: Çekici, cezbedici"
Term: Bazaar,"Definition: Çarşı, pazar"
Term: Beach,"Definition: Kumsal, sahil"
Term: Bed and breakfast,Definition: Yatak kahvaltı (konaklama türü)
Term: Boat tour,Definition: Tekne turu
Term: Bosphorus,Definition: İstanbul Boğazı
Term: Bridge,Definition: Köprü
Term: Budget,Definition: Bütçe
Term: Bungalow,Definition: Tek katlı tahta ev
Term: Camel,Definition: Deve
Term: Castle,Definition: Kale
Term: Cave,Definition: Mağara
Term: Climate,Definition: İklim
Term: Continent,Definition: Kıta
Term: Countryside,Definition: Kırsal kesim
Term: Delicious,Definition: Lezzetli
Term: Desert,Definition: Çöl
Term: Destination,Definition: Varış yeri
Term: Dishes,Definition: Yemekler
Term: Ephesus,Definition: Efes antik kenti
Term: Fairy Chimneys,Definition: Peri Bacaları
Term: Fascinating,Definition: Büyüleyici
Term: Fountain,"Definition: Çeşme, fıskiye"
Term: Heritage,Definition: Miras
Term: Historic site,Definition: Tarihi yer
Term: Journey,Definition: Seyahat
Term: Landmark,Definition: Şehrin simgesi
Term: Local dishes,Definition: Yerel yemekler
Term: Monument,"Definition: Anıt, abide"
Term: National park,Definition: Milli park
Term: Palace,Definition: Saray
Term: Price,"Definition: Ücret, fiyat"
Term: Resort,"Definition: Tatil yeri, tatil köyü"
Term: Rural,Definition: Kırsal
Term: Scenery,Definition: Manzara
Term: Sightseeing tour,Definition: Gezi turu
Term: Souvenir,Definition: Hediyelik eşya
Term: Square,Definition: Meydan
Term: Stay,"Definition: Kalmak, konaklamak"
Term: Sunset,Definition: Gün batımı
Term: Temple,"Definition: Tapınak, mabet"
Term: Tiles,Definition: Fayans
Term: Tradition,Definition: Gelenek
Term: Transportation,Definition: Ulaşım
Term: Urban,"Definition: Şehirsel, kentsel"
Term: Weather,Definition: Hava
Term: West,Definition: Batı
