Question,Answer
"Affect"" kelimesinin Türkçe karşılığı nedir?",Etkilemek
"Avalanche"" kelimesinin Türkçe karşılığı nedir?",Çığ
"Cause"" kelimesinin Türkçe karşılığı nedir?",Sebep olmak
"Climate change"" teriminin Türkçe anlamı nedir?",İklim değişikliği
"Deforestation"" kelimesinin Türkçe karşılığı nedir?",Ormansızlaşma
"Destruction"" kelimesinin Türkçe karşılığı nedir?",Yıkım
"Drought"" kelimesinin Türkçe karşılığı nedir?",Kuraklık
"Earthquake"" kelimesinin Türkçe karşılığı nedir?",Deprem
"Eco friendly"" ifadesinin Türkçe karşılığı nedir?",Doğa dostu
"Flood"" kelimesinin Türkçe karşılığı nedir?",Sel baskını
"Global warming"" teriminin Türkçe karşılığı nedir?",Küresel ısınma
"Landslide"" kelimesinin Türkçe karşılığı nedir?",Toprak kayması (Heyelan)
"Melting ice"" ifadesinin Türkçe anlamı nedir?",Buzun erimesi
"Overpopulation"" kelimesinin Türkçe karşılığı nedir?",Aşırı nüfus
"Pesticide"" kelimesinin Türkçe karşılığı nedir?",Böcek ilacı
"Pollute"" fiilinin Türkçe karşılığı nedir?",Kirletmek
"Precaution"" kelimesinin Türkçe karşılığı nedir?",Önlem
"Public transportation"" ifadesinin Türkçe karşılığı nedir?",Toplu taşıma
"Recycle"" fiilinin Türkçe karşılığı nedir?",Geri dönüşüm
"Shortage"" kelimesinin Türkçe karşılığı nedir?",Kıtlık (Eksiklik)
"Survivor"" kelimesinin Türkçe karşılığı nedir?",Hayatta kalan
"Take action"" ifadesinin Türkçe anlamı nedir?",Harekete geçmek
"Volcanic eruption"" ifadesinin Türkçe karşılığı nedir?",Yanardağ patlaması
"Waste"" kelimesinin isim ve fiil olarak Türkçe anlamları nelerdir?",İsraf etmek / Atık
"Wildlife"" kelimesinin Türkçe karşılığı nedir?",Vahşi yaşam
"Çevre"" kelimesinin İngilizce karşılığı nedir?",Environment
"Erozyon"" kelimesinin İngilizce karşılığı nedir?",Erosion
"Gezegen"" kelimesinin İngilizce karşılığı nedir?",Planet
"Kurtarma ekibi"" teriminin İngilizce karşılığı nedir?",Rescue team
"Yenilenebilir enerji kaynakları"" ifadesinin İngilizce karşılığı nedir?",Renewable energy sources
"Sıcaklık"" kelimesinin İngilizce karşılığı nedir?",Temperature
"Hortum"" kelimesinin İngilizce karşılığı nedir?",Tornado
"Kasırga"" kelimesinin İngilizce karşılığı nedir?",Hurricane
"Büyüklük"" kelimesinin deprem (earthquake) bağlamındaki İngilizce karşılığı nedir?",Magnitude
"Özel araç"" ifadesinin İngilizce karşılığı nedir?",Private car
"Tahmin edilen"" kelimesinin İngilizce karşılığı nedir?",Estimated
"Acı çekmek / Müzdarip olmak"" ifadesinin İngilizce karşılığı nedir?",Suffer from
"Tehdit"" kelimesinin İngilizce karşılığı nedir?",Threat
"Ciddi"" kelimesinin İngilizce karşılığı nedir?",Serious
"Korumak"" eyleminin İngilizce karşılıkları nelerdir?",Protect / Save
İngilizcede gelecekle ilgili tahminlerde bulunurken hangi yardımcı fiil kullanılır?,Will
"İngilizcede ""will not"" yardımcı fiilinin olumsuz cümlelerdeki kısa yazılışı nedir?",Won't
Birine öğüt verirken veya gerekli bir durumdan bahsederken kullanılan modal fiil nedir?,Should
Yapılmaması gereken bir durumdan bahsederken (olumsuz öğüt) hangi modal fiil kullanılır?,Should not (Shouldn't)
"Gelecek zaman tahminlerinde kullanılan ""will"" fiili Türkçeye hangi eklerle çevrilir?","-ecek, -acak"
"I think we _____ have water shortage in the future."": Cümleyi gelecek zaman tahminiyle tamamlayınız.",will
"You _____ save the environment."": Çevreyi koruma tavsiyesi vermek için boşluğa ne gelmelidir?",should
"You _____ pollute the environment."": Çevreyi kirletmeme tavsiyesi vermek için boşluğa ne gelmelidir?",shouldn't
"In my opinion, there will be serious _____."": Boşluğa ""kuraklıklar"" anlamına gelen İngilizce kelimeyi getiriniz.",droughts
"There _____ be a lot of rain."": ""Çok yağmur olmayacak"" anlamını sağlamak için boşluğa ne gelmelidir?",won't
"You shouldn't hunt animals."" cümlesinin Türkçe karşılığı nedir?",Hayvanları avlamamalısın.
"To me, deforestation will be a serious _____ in the future."": Cümledeki boşluğa ""tehlike"" kelimesini getiriniz.",danger
"You _____ pour waste into the sea."": Denize atık dökülmemesi gerektiğini belirtmek için boşluğa ne gelmelidir?",shouldn't
"You should use environmentally _____ products."": Boşluğa ""dostu"" anlamına gelen kelimeyi getiriniz.",friendly
"İngilizcede tahminlerde bulunurken cümleye başlamak için kullanılan ""Bence"" veya ""Görüşüme göre"" ifadeleri nelerdir?",I think / In my opinion / To me
"Su sıkıntısı"" teriminin İngilizce karşılığı nedir?",Water shortage
"Keep clean"" ifadesinin Türkçe karşılığı nedir?",Temiz tutmak
"Earth"" kelimesinin Türkçe karşılığı nedir?",Yeryüzü
"Reason"" kelimesinin Türkçe karşılığı nedir?",Sebep
"Result"" kelimesinin Türkçe karşılığı nedir?",Sonuç
