Question,Answer
'admire' kelimesinin Türkçe karşılığı nedir?,"Beğenmek, hayran kalmak"
Bir kursa veya etkinliğe 'katılmak' anlamına gelen İngilizce kelime nedir?,Attend
Bir şeye 'katlanamamak' veya 'tahammül edememek' ifadesinin İngilizcesi nedir?,Can't stand
'Casual' kelimesinin Türkçe anlamı nedir?,Gündelik
'Fascinating' kelimesinin Türkçe karşılığı nedir?,Büyüleyici
Bir şeye 'düşkün olmak' anlamına gelen 'fond of' ifadesinin Türkçe anlamı nedir?,Düşkün olmak
'Impressive' kelimesinin Türkçe karşılığı nedir?,Etkileyici
Bir şeye 'meraklı olmak' veya 'hevesli olmak' anlamına gelen ifade nedir?,Keen on
'Dövüş sanatları' teriminin İngilizce karşılığı nedir?,Martial arts
Sıklık zarfı olan 'rarely' kelimesinin Türkçe anlamı nedir?,Nadiren
'Ridiculous' kelimesinin Türkçe karşılığı nedir?,"Saçma, gülünç, komik"
Burnu havada veya züppe kişiler için kullanılan İngilizce kelime nedir?,Snob
'Unbearable' kelimesinin Türkçe karşılığı nedir?,"Katlanılmaz, tahammül edilemez"
'Wonderful' kelimesinin Türkçe karşılığı nedir?,Harika
'Antrenman yapmak' anlamına gelen İngilizce kelime nedir?,Workout
'Tartışmak' anlamına gelen İngilizce kelime nedir?,Argue
'Author' kelimesinin Türkçe karşılığı nedir?,Yazar
'Brush teeth' ifadesinin Türkçe karşılığı nedir?,Diş fırçalamak
'Yemek kursu' ifadesinin İngilizcesi nedir?,Cooking class
'Enerjik' anlamına gelen İngilizce kelime nedir?,Energetic
'Enjoyable' kelimesinin Türkçe anlamı nedir?,Eğlenceli
'Yemek tarifi' anlamına gelen İngilizce kelime nedir?,Recipe
'Skydiving' kelimesinin Türkçe karşılığı nedir?,Gökyüzü dalışı
'Şekerleme yapmak' veya 'kestirmek' anlamına gelen İngilizce ifade nedir?,Take a nap
"'Uyanmak, kalkmak' anlamına gelen İngilizce ifade nedir?",Wake up
'Akrabalarla zaman geçirmek' ifadesinin İngilizcesi nedir?,Spend time with relative
'Amazing' kelimesinin Türkçe karşılığı nedir?,"Şaşırtıcı, inanılmaz"
'Lezzetli' anlamına gelen İngilizce kelime nedir?,Delicious
'Extreme' kelimesinin Türkçe karşılığı nedir?,"Aşırı, en uç"
'Sağlıklı' anlamına gelen İngilizce kelime nedir?,Healthy
İngilizce 'Ne kadar süre?' sorusu nasıl sorulur?,How long?
Saat bilgisini sormak için kullanılan 'Saat kaçta?' sorusu nedir?,What time?
'Ne tür?' veya 'Ne çeşit?' anlamına gelen soru kalıbı nedir?,What kind?
'Kimin?' anlamına gelen İngilizce soru kelimesi nedir?,Whose?
İngilizce 'Hangisi?' sorusu nasıl sorulur?,Which?
Eylemlerin yapılma sıklığını soran 'Ne sıklıkla?' sorusu nedir?,How often?
'Neredeyse hiç' anlamına gelen sıklık zarfı nedir?,Hardly ever
'Haftada iki kez' ifadesinin İngilizce karşılığı nedir?,Twice a week
'Ayda bir kez' ifadesinin İngilizce karşılığı nedir?,Once a month
'Genellikle' anlamına gelen sıklık zarfı nedir?,Usually
Bir şeyi 'çılgınca sevmek' anlamına gelen ifade nedir?,Crazy about
İngilizcede bir konuyla 'ilgili olmak' hangi ifadeyle belirtilir?,Interested in
'Skilled at' ifadesinin Türkçe anlamı nedir?,Yetenekli olmak
Bir şeyde 'kötü olmak' anlamına gelen ifade nedir?,Bad at
Bir şeyde 'iyi olmak' anlamına gelen ifade nedir?,Good at
'Benim görüşümce' anlamına gelen fikir belirtme ifadesi nedir?,In my view
'Zannederim' anlamına gelen 'I suppose' ifadesi ne için kullanılır?,Fikirleri ifade etmek
'Sana katılmıyorum' cümlesinin İngilizce karşılığı nedir?,I disagree with you
Karşıdaki kişinin görüşüne katılmak için kullanılan 'Haklısın' ifadesi nedir?,You are right
'Ben öyle düşünmüyorum' ifadesinin İngilizcesi nedir?,I don't think so
Prefer yapısında iki şeyi kıyaslarken arada hangi kelime kullanılır? (Örn: I prefer book ___ tv),to
Grafik sorularında 'çoğu' anlamına gelen 'Most of...' ifadesinin Türkçe karşılığı nedir?,...'nın çoğu
'Yaklaşık olarak' anlamına gelen grafik terimleri nelerdir?,Nearly / About
Grafik verilerinde 'en az' anlamına gelen terim nedir?,The least
'All of...' ifadesinin Türkçe karşılığı nedir?,...'nın tamamı
'Hafta içi günler' anlamına gelen İngilizce kelime nedir?,Weekdays
'Sıklıkla' anlamına gelen 'often' kelimesinin Türkçe karşılığı nedir?,Sık sık
'Neredeyse hiç' anlamına gelen 'seldom' kelimesiyle benzer anlam taşıyan diğer zarf nedir?,Rarely
'In my opinion' ifadesinin Türkçe karşılığı nedir?,Benim fikrimce
'I agree with you' ifadesi bir fikre katılmayı mı yoksa katılmamayı mı belirtir?,Katılmayı
Grafik sorularında kullanılan 'More than...' ifadesinin Türkçe karşılığı nedir?,...dan fazlası
'I'm into' ifadesinin Türkçe anlamı nedir?,İlgili olmak
"İngilizce 'Daima, her zaman' anlamına gelen zarf nedir?",Always
Fikir belirtirken kullanılan 'Bana göre' ifadesinin İngilizcesi nedir?,To me (veya For me)
'Sana katılmıyorum' anlamına gelen ve 'agree' içermeyen ifade nedir?,I disagree with you
