Question,Answer
"Annoyed"" kelimesinin Türkçe karşılığı nedir?","Sinirli, kızgın"
"Zamanında varmak"" anlamına gelen İngilizce ifade nedir?",Arrive on time
"Bored"" kelimesi Türkçede ne anlama gelir?",Sıkılmış
"Ödünç almak"" eyleminin İngilizce karşılığı nedir?",Borrow
"Break promise"" ifadesi Türkçede nasıl söylenir?",Sözünü tutmamak
"Ev işleri"" anlamına gelen temel İngilizce kelime nedir?",Chores
"Clean up"" fiili Türkçede ne anlama gelir?","Temizlemek, toparlamak"
"Rahatsız etmek"" eyleminin İngilizce karşılığı nedir?",Disturb
"Çamaşır yıkamak"" ifadesinin İngilizcesi nedir?",Do the laundry
"Mobilyaların tozunu almak"" İngilizcede nasıl ifade edilir?",Dust the furniture
"Exhausted"" kelimesinin Türkçe anlamı nedir?","Yorgun, bitkin"
"Market alışverişi"" anlamına gelen İngilizce tamlama nedir?",Grocery shopping
"Çamaşırları asmak"" eyleminin İngilizce karşılığı nedir?",Hang up the clothes
"Sorumlu olmak"" anlamına gelen ""in charge of"" yapısı hangi edatla biter?",of
"Sessiz ol"" anlamına gelen İngilizce kalıp nedir?",Keep quiet
"Yatağı toplamak"" ifadesinin İngilizcesi nedir?",Make the bed
"Yeri paspaslamak"" eylemi İngilizcede nasıl söylenir?",Mop the floor
"Kurallara uymak"" anlamına gelen İngilizce ifade nedir?",Obey the rules
"Kitapları iade etmek"" ifadesinin İngilizcesi nedir?",Return the books
"Sırayla yapmak"" anlamına gelen İngilizce deyim nedir?",Take turns
"Odayı toplamak"" ifadesinin İngilizce karşılığı nedir?",Tidy up the room
"Halıyı elektrik süpürgesi ile süpürmek"" eyleminin İngilizcesi nedir?",Vacuum the carpet
"Çiçekleri sulamak"" eyleminin İngilizce karşılığı nedir?",Water the flowers
"Sorumluluk"" kelimesinin İngilizce karşılığı nedir?",Responsibility
"Çöpleri dışarı atmak"" İngilizcede nasıl söylenir?",Take out the garbage
"Mutfak"" kelimesinin İngilizce karşılığı nedir?",Kitchen
"Ütü yapmak"" eylemi İngilizcede nasıl ifade edilir?",Do the ironing
"Bulaşık makinesini boşaltmak"" ifadesinin İngilizcesi nedir?",Empty the dishwasher
"Sözünü tutmak"" (olumlu) ifadesinin İngilizcesi nedir?",Keep promise
"Dürüst olmak gerekirse"" anlamına gelen İngilizce kalıp nedir?",To be honest
"Faturaları ödemek"" eyleminin İngilizce karşılığı nedir?",Pay the bills
"Yapılacaklar listesi"" İngilizcede nasıl söylenir?",To do list
"Yaprakları süpürmek"" eyleminin İngilizce karşılığı nedir?",Sweep the leaves
