Question,Answer
Science ünitesindeki 'achievement' kelimesinin Türkçe karşılığı nedir?,Başarı
'Etkilemek' anlamına gelen İngilizce bilim terimi hangisidir?,Affect
Biyolojide temel birim olan 'cell' kelimesinin Türkçe anlamı nedir?,Hücre
Bilimsel bir deneyi gerçekleştirmek veya yapmak anlamında kullanılan fiil hangisidir?,Conduct
Hastalıklar için aranan 'tedavi' veya 'çare' kelimesinin İngilizcesi nedir?,Cure
'Geliştirmek' veya 'gelişmek' anlamına gelen İngilizce kelime hangisidir?,Develop
Laboratuvarlarda kullanılan 'cihaz' veya 'aygıt' kelimesinin karşılığı nedir?,Device
Bilinmeyen bir şeyi ilk kez bulmak anlamındaki 'discover' fiilinin Türkçe anlamı nedir?,Keşfetmek
'Keşif' yapan kişiye (kâşif) İngilizcede ne denir?,Discoverer
Bilimsel bir çalışmanın parçası olan 'deney' kelimesinin İngilizcesi nedir?,Experiment
Bilinmeyen yerleri 'keşfetmek' veya 'araştırmak' için kullanılan fiil hangisidir?,Explore
'Fossil' kelimesinin Türkçe karşılığı nedir?,Fosil
İleri teknoloji anlamına gelen sıfat tamlaması hangisidir?,High-tech
Daha önce var olmayan bir şeyi 'icat etmek' fiilinin İngilizcesi nedir?,Invent
Graham Bell'in telefonu bulması gibi bir 'icat' kelimesinin karşılığı nedir?,Invention
Bir buluşu ortaya koyan kişiye (mucit) ne denir?,Inventor
Bilimsel deneylerin yapıldığı 'laboratuvar' kelimesinin kısaltılmış hali nedir?,Lab
Çıplak gözle görülmeyen küçük canlılara verilen 'microbe' adının Türkçe anlamı nedir?,Mikrop
Küçük nesneleri büyütmeye yarayan 'microscope' aletinin karşılığı nedir?,Mikroskop
Bilim dünyasının en prestijli ödüllerinden biri olan 'Nobel Prize'ın Türkçe anlamı nedir?,Nobel Ödülü
'Üretmek' anlamına gelen İngilizce fiil hangisidir?,Produce
Deney sırasında güvenliği 'sağlamak' veya 'korumak' için kullanılan 'protect' fiilinin anlamı nedir?,Korumak
Bir konu üzerindeki derinlemesine 'araştırma' kelimesinin İngilizcesi nedir?,Research
Bilimle uğraşan kişiye (bilim insanı) İngilizcede ne ad verilir?,Scientist
Gök cisimlerini incelemeye yarayan 'telescope' aletinin Türkçe karşılığı nedir?,Teleskop
Laboratuvarlarda sıvıları koymak için kullanılan 'test tube' nedir?,Deney tüpü
Einstein ile özdeşleşen 'theory of relativity' teriminin Türkçe anlamı nedir?,Görelilik teorisi
Hastalıkların önlenmesi için yapılan 'vaccination' kelimesinin Türkçe karşılığı nedir?,Aşı
İç organların görüntüsünü almaya yarayan 'x-ray' kelimesinin anlamı nedir?,Röntgen
Ürünlerin üzerindeki okutulabilir 'barcode' çizgilerinin Türkçe karşılığı nedir?,Barkod
'Pusula' anlamına gelen ve yön bulmaya yarayan kelime hangisidir?,Compass
Arşimet'in icadı olan 'water screw' teriminin anlamı nedir?,Su vidası
Tıptaki yeni gelişmelerden olan 'wearable heart chip'in Türkçe karşılığı nedir?,Giyilebilir kalp çipi
'Kaza' anlamına gelen İngilizce kelime hangisidir?,Accident
Ortamın havasını soğutan 'air conditioner' cihazının Türkçe karşılığı nedir?,Klima
Başarı sonucu verilen 'award' kelimesinin Türkçe anlamı nedir?,Ödül
'Chemistry' branşının Türkçe karşılığı nedir?,Kimya
İnsanların 'iletişim kurmak' için kullandığı fiil hangisidir?,Communicate
Bir şeye verilen 'damage' kelimesinin Türkçe anlamı nedir?,"Zarar, hasar"
Makinelerin veya sistemlerin 'verimli' (efficient) çalışması ne anlama gelir?,"Etkili, verimli"
Binalarda katlar arası ulaşımı sağlayan 'elevator' nedir?,Asansör
Üretim yapılan büyük tesis olan 'factory' kelimesinin Türkçe karşılığı nedir?,Fabrika
Pusula kullanarak yapılan 'finding direction' eyleminin anlamı nedir?,Yön bulma
Çok üstün zekalı kişilere verilen 'genius' sıfatının Türkçe karşılığı nedir?,Dâhi
Endüstri veya sanayi anlamına gelen İngilizce kelime hangisidir?,Industry
Eskiden yazı yazmak için kullanılan 'quill pen' nedir?,Tüy kalem
Bilgiyi 'almak' veya 'kabul etmek' anlamına gelen fiil hangisidir?,Receive
Televizyonu kontrol eden 'remote control' cihazının Türkçe karşılığı nedir?,Uzaktan kumanda
Eşyaların bir yerden bir yere taşınması olan 'transportation' nedir?,Ulaşım
Doktorun hastayı iyileştirmesi anlamındaki 'treat' fiilinin karşılığı nedir?,Tedavi etmek
İnternet veya bir kanal 'aracılığıyla' anlamına gelen kelime hangisidir?,Via
Birini tehlikeye karşı 'uyarmak' fiilinin İngilizcesi nedir?,Warn
Tekerleğin icadındaki 'wheel' kelimesinin Türkçe karşılığı nedir?,Tekerlek
Hava durumundaki değişimleri ifade eden 'weather changes' nedir?,Hava değişiklikleri
Bilgi anlamına gelen 'information' kelimesinin Türkçe karşılığı nedir?,Bilgi
Geçmiş zamanda (Past Tense) olumlu cümlelerde özneden hemen sonra fiilin kaçıncı hali kullanılır?,Fiilin 2. hali (V2)
'He _____ (become) a professor.' cümlesini Geçmiş Zaman'a göre tamamlayınız.,became
'They _____ (win) the Nobel Prize.' cümlesindeki boşluğu Past Tense'e göre doldurunuz.,won
Geçmiş zaman olumsuz cümlelerinde 'did not' (didn't) ifadesinden sonra fiil hangi halde olur?,Fiilin 1. hali (yalın hal)
'We _____ (not/finish) our project.' cümlesini Geçmiş Zaman'a göre tamamlayınız.,did not finish (veya didn't finish)
Geçmiş zamanda soru cümlesi yaparken cümlenin başına hangi kelime getirilir?,Did
'What did he _____ (discover)?' sorusunda fiil neden 1. halindedir?,Cümlede 'did' yardımcı fiili kullanıldığı için.
Şimdiki zamanda (Present Continuous) konuşma anında gerçekleşen eylemleri anlatmak için hangi yapı kullanılır?,am / is / are + fiil + -ing
Şimdiki zamanı gösteren 'şu anda' anlamına gelen zaman zarflarından üç tanesini sayınız.,"Now, Right now, At the moment"
"Present Continuous yapısında 'He, She, It' özneleri ile hangi yardımcı fiil kullanılır?",is
"Şimdiki zamanda 'You, We, They' özneleriyle kullanılan yardımcı fiil hangisidir?",are
'I am _____ (work) on a new device.' cümlesindeki boşluğu Şimdiki Zaman'a göre doldurunuz.,working
Şimdiki zamanda olumsuz cümle yapmak için yardımcı fiilden sonra hangi kelime getirilir?,not
'He is not _____ (follow) scientific developments.' cümlesini tamamlayınız.,following
"Şimdiki zaman soru cümlelerinde 'am, is, are' kelimeleri cümlenin neresine gelir?",Cümlenin başına
'_____ you looking for some fossils?' sorusundaki boşluğu doldurunuz.,Are
'Is she _____ (operate) the machine?' sorusundaki fiili uygun ekle tamamlayınız.,operating
Geçmiş zamanda 'I graduated from the university' cümlesinin Türkçe karşılığı nedir?,Ben üniversiteden mezun oldum.
'Şu anda' anlamına gelen ve Şimdiki Zaman ile sıkça kullanılan 'currently' kelimesinin Türkçe karşılığı nedir?,"Şu anda, günlerde"
'Did he invent the first telephone?' sorusunun Türkçe anlamı nedir?,"O erkek, ilk telefonu mu icat etti?"
