Question,Answer
"Account"" kelimesinin Türkçe karşılığı nedir?",Hesap.
"Telefonu kapatmak"" eyleminin İngilizce karşılığı nedir?",Hang up.
"Müsait"" anlamına gelen İngilizce kelime nedir?",Available.
"Telefonda hattın ""meşgul"" olduğunu ifade etmek için kullanılan kelime _____'dır.",Engaged.
"Birini telefona aktarmak için kullanılan ""_____ through"" ifadesindeki boşluğu doldurun.",Put.
"Akıllı telefonların ""bağımlılık"" yapması bir _____ (advantage/disadvantage) olarak kabul edilir.",Disadvantage.
"Telefonda ""Heceleyebilir misiniz?"" anlamına gelen soru cümlesi nedir?",Could you spell that please?
"I will call back later"" cümlesinin Türkçe anlamı nedir?",Sonra tekrar arayacağım.
"Contact"" ve ""Communication"" kelimeleri arasındaki anlamsal ilişki nedir?",Eş anlamlıdırlar (İletişim).
"Wait"", ""Hold on"" ve ""_____"" kelimeleri telefonda ""beklemek"" anlamında kullanılır.",Hang on.
"Appetiser"" kelimesinin Türkçe karşılığı nedir?",Meze.
"Nakit"" anlamına gelen İngilizce ifade nedir?",In cash.
"Yer ayırtmak"" anlamına gelen İngilizce fiil nedir?",Book.
"Weather forecast"" ifadesinin Türkçe karşılığı nedir?",Hava durumu tahmini.
"Şikayet etmek"" anlamına gelen İngilizce fiil nedir?",Complain.
"Onaylamak"" anlamına gelen İngilizce fiil nedir?",Confirm.
"Telefondaki ""dahili hat"" kavramının İngilizce karşılığı nedir?",Extension.
"Pick up"" fiili telefonla ilgili hangi eylemi ifade eder?",Telefonu açmak.
"Beni Kenan'a bağlayabilir misiniz lütfen?"" cümlesinin İngilizce karşılığı nedir?",Could you put me through to Kenan please?
"I'm sorry, he is busy now"" cümlesindeki ""busy"" kelimesinin eş anlamlısı nedir?",Engaged.
Akıllı telefonların konsantrasyonu dağıtması (disturb the concentration) bir _____ (advantage/disadvantage) örneğidir.,Disadvantage.
"Acil durumlarda kurtarma"" (rescue for emergency) akıllı telefonların bir _____ (advantage/disadvantage) özelliğidir.",Advantage.
Bir çağrı merkezini bilet ayırtmak için aradığımızda hangi İngilizce ifade kullanılır?,To book bus/flight ticket.
Bir ürünü değiştirmek için çağrı merkezini aradığımızda kullanılan İngilizce ifade nedir?,To change a product.
"Mary, Mikel'in sesini net duyamadığında durumun kötü olduğunu belirtmek için hangi ifadeyi kullanır?",It is a bad line.
"Adınızı tekrar söyleyebilir misiniz?"" sorusunun İngilizce karşılığı nedir?",Could you say your name again?
"Tekrar"" anlamında kullanılan ""Again"" kelimesinin eş anlamlısı nedir?",Repeat.
"Use smoke signals"" hangi iletişim yöntemini ifade eder?",Dumanla haberleşmek.
"Send a fax"" hangi iletişim yöntemini ifade eder?",Faks çekmek.
"Leave a voice mail"" hangi iletişim yöntemini ifade eder?",Sesli mesaj bırakmak.
"Video chats"" hangi iletişim yöntemini ifade eder?",Görüntülü sohbet.
"Write a postcard"" hangi iletişim yöntemini ifade eder?",Posta kartı yazmak.
"Kusura bakmayın"" anlamına gelen İngilizce ifade nedir?",Beg your pardon.
"Mümkün olan en kısa sürede"" anlamına gelen İngilizce kalıp nedir?",As soon as possible.
"Dial"" fiili telefonla ilgili hangi eylemi ifade eder?",Numarayı çevirmek veya tuşlamak.
"Acil durum"" anlamına gelen İngilizce kelime nedir?",Emergency.
"He is in a meeting"" cümlesinin Türkçe karşılığı nedir?",O şu an toplantıda.
Arayana mesaj bırakmak isteyip istemediğini sormak için kullanılan İngilizce cümle nedir?,Would you like to leave a message?
"May I ask who is calling?"" sorusu ne amaçla sorulur?",Arayanın kim olduğunu sormak için.
"Anlamadım, tekrar edebilir misiniz?"" sorusunun İngilizce karşılığı nedir?","I don't understand, could you repeat please?"
"Smartphone"" kelimesinin Türkçe karşılığı nedir?",Akıllı telefon.
"Social network"" ifadesinin Türkçe karşılığı nedir?",Sosyal ağ.
Bir ürün için geri ödeme talep ederken hangi İngilizce kelime kullanılır?,Refund.
"Reward"" kelimesinin Türkçe karşılığı nedir?",Ödül.
"Receipt"" kelimesinin Türkçe karşılığı nedir?",Fiş.
"Customer"" kelimesinin Türkçe karşılığı nedir?",Müşteri.
Telefonun çalması eylemi İngilizcede hangi fiille ifade edilir?,Ring.
"Görüşme"" anlamına gelen İngilizce kelime nedir?",Conversation.
"Checking"" eyleminin Türkçe karşılığı nedir?",Kontrol etmek.
"Arayan kişi"" anlamına gelen İngilizce kelime nedir?",Caller.
"Birine ""Lütfen hatta kalın"" demek için hangi ifade kullanılır?",Please hold on.
"Şirket"" anlamına gelen İngilizce kelime nedir?",Company.
"Mektup"" anlamına gelen İngilizce kelime nedir?",Letter.
"Not"" veya ""bildiri"" anlamına gelen İngilizce kelime nedir?",Memo.
"Haberler"" anlamına gelen İngilizce kelime nedir?",News.
"Amaç"" anlamına gelen İngilizce kelime nedir?",Purpose.
"Suggest"" fiilinin Türkçe karşılığı nedir?",Önermek.
"Faydalı"" anlamına gelen İngilizce kelime nedir?",Useful.
"Değer"" veya ""bedel"" anlamına gelen İngilizce kelime nedir?",Worth.
"İade etmek"" anlamına gelen İngilizce fiil nedir?",Return.
"Bildirmek"" veya ""rapor etmek"" anlamına gelen İngilizce kelime nedir?",Report.
"Paylaşmak"" anlamına gelen İngilizce kelime nedir?",Share.
"Bağlantı"" anlamına gelen İngilizce kelime nedir?",Connection.
"Daha sonra"" anlamına gelen İngilizce kelime nedir?",Later.
"İletmek"" veya ""teslim etmek"" anlamına gelen İngilizce fiil nedir?",Deliver.
