Question,Answer
"Adrenaline"" kelimesinin Türkçe karşılığı nedir?",Adrenalin
"Adventure"" kelimesinin Türkçe karşılığı nedir?",Macera
"Adventurer"" kelimesinin Türkçe karşılığı nedir?",Maceracı
"Adventurous"" kelimesinin Türkçe karşılığı nedir?","Maceracı, maceraperest"
"Archery"" kelimesinin Türkçe karşılığı nedir?",Okçuluk
"Base jumping"" kelimesinin Türkçe karşılığı nedir?",Temel atlama
"Bungee-jumping"" kelimesinin Türkçe karşılığı nedir?",Elastik ip ile yüksekten atlama
"Canoeing"" kelimesinin Türkçe karşılığı nedir?","Kano, sal ile gezinti"
"Caving"" kelimesinin Türkçe karşılığı nedir?",Mağaracılık
"Challenging"" kelimesinin Türkçe karşılığı nedir?","Zorlu, meydan okuyucu"
"Disappointing"" kelimesinin Türkçe karşılığı nedir?",Hayal kırıklığına uğratıcı
"Equipment"" kelimesinin Türkçe karşılığı nedir?","Araç gereç, ekipman"
"Fascinating"" kelimesinin Türkçe karşılığı nedir?",Büyüleyici
"Goggles"" kelimesinin Türkçe karşılığı nedir?",Koruyucu gözlük
"Hang-gliding"" kelimesinin Türkçe karşılığı nedir?",Delta kanatla uçuş
"Helmet"" kelimesinin Türkçe karşılığı nedir?",Kask
"Highlining"" kelimesinin Türkçe karşılığı nedir?",İp üstünde yürüme
"Improve"" kelimesinin Türkçe karşılığı nedir?",Geliştirmek
"Kayaking"" kelimesinin Türkçe karşılığı nedir?",Kanoya benzer bir su sporu
"Paddle"" kelimesinin Türkçe karşılığı nedir?",Kürek
"Paragliding"" kelimesinin Türkçe karşılığı nedir?",Yamaç paraşütü
"Require"" kelimesinin Türkçe karşılığı nedir?",Gerektirmek
"Scuba diving"" kelimesinin Türkçe karşılığı nedir?","Su altı dalışı, tüplü dalış"
"Skydiving"" kelimesinin Türkçe karşılığı nedir?",Gökyüzü dalışı
"Take risks"" kelimesinin Türkçe karşılığı nedir?",Risk almak
"Unforgettable"" kelimesinin Türkçe karşılığı nedir?",Unutulmaz
"Volcano surfing"" kelimesinin Türkçe karşılığı nedir?",Volkan sörfü
"Zorbing"" kelimesinin Türkçe karşılığı nedir?",Plastik küre içinde yuvarlanma
"Adrenalin bağımlısı mısın?"" sorusunun İngilizcesi nedir?",Are you an adrenaline seeker?
"Onun için hangi tür araç gereçlere ihtiyacın var?"" sorusunun İngilizcesi nedir?",What kind of equipments do you need for it?
"Prefer"" yapısında iki seçenek arasında tercih yaparken hangi ifade kullanılır?",to
"Prefer"" yapısında fiil kullanıldığında fiile hangi ek getirilir?",-ing
"Prefer"" yapısında cümlenin hangi kısmındaki öğe (to ifadesinden önceki mi sonraki mi) tercih edilen şeydir?",Prefer kelimesinden hemen sonra gelen (to'dan önceki) öğe
I prefer playing basketball _____ riding a bike. (Boşluğa gelmesi gereken kelime nedir?),to
"Would rather"" ifadesi ile tercihler belirtilirken seçenekler arasına hangi kelime konur?",than
"Would rather"" yapısında kullanılan fiiller mutlaka hangi halde olmalıdır?",Yalın halde
I would rather play basketball _____ ride a bike. (Boşluğa gelmesi gereken kelime nedir?),than
Kıyaslama (comparative) cümlelerinde karşılaştırılan iki varlık arasına mutlaka hangi kelime konur?,than
"Tek heceli sıfatlara kıyaslama yaparken ""daha"" anlamı katmak için hangi takı eklenir?",-er
"Safe"" (güvenli) sıfatının kıyaslama (comparative) hali nedir?",safer
"Hard"" (zor) sıfatının kıyaslama (comparative) hali nedir?",harder
Çok heceli sıfatlarda kıyaslama yaparken sıfatın önüne hangi kelime getirilir?,more
"Dangerous"" (tehlikeli) sıfatının kıyaslama (comparative) hali nedir?",more dangerous
"Challenging"" (zorlu) sıfatının kıyaslama (comparative) hali nedir?",more challenging
"Good"" (iyi) sıfatının kıyaslama (comparative) hali nedir?",better
"Bad"" (kötü) sıfatının kıyaslama (comparative) hali nedir?",worse
"Far"" (uzak) sıfatının kıyaslama (comparative) hali nedir?",further
"Little"" (az) sıfatının kıyaslama (comparative) hali nedir?",less
"Entertaining"" kelimesinin Türkçe karşılığı nedir?",Eğlenceli
"Exciting"" kelimesinin Türkçe karşılığı nedir?",Heyecan verici
"Interesting"" kelimesinin Türkçe karşılığı nedir?",İlginç
"Successful"" kelimesinin Türkçe karşılığı nedir?",Başarılı
"Talented"" kelimesinin Türkçe karşılığı nedir?",Yetenekli
"Nature"" kelimesinin Türkçe karşılığı nedir?",Doğa
"Experience"" kelimesinin Türkçe karşılığı nedir?","Deneyim, tecrübe"
"Mountain biking"" kelimesinin Türkçe karşılığı nedir?",Dağ bisikleti
"Motor racing"" kelimesinin Türkçe karşılığı nedir?",Motor yarışı
"Rope"" kelimesinin Türkçe karşılığı nedir?","Halat, ip"
Canoeing is _____ (good) than cycling. (Cümleyi kurallara göre tamamlayınız.),better
Tennis is _____ (bad) than basketball. (Cümleyi kurallara göre tamamlayınız.),worse
"Caving is _____ exciting than scuba diving. (Cümleyi ""daha az"" anlamı verecek şekilde tamamlayınız.)",less
"Rafting"" kelimesinin Türkçe karşılığı nedir?",Bot ile yapılan su sporu
"Jogging"" kelimesinin Türkçe karşılığı nedir?",Tempolu yürüyüş
"Snowboarding"" kelimesinin Türkçe karşılığı nedir?",Kar kayağı (tahta üzerinde)
"Skateboarding"" kelimesinin Türkçe karşılığı nedir?",Kaykay yapmak
