Question,Answer
account ne demektir?,hesap
adult ne demektir?,yetişkin
advantage ne demektir?,"fayda, yarar"
adventure ne demektir?,macera
application ne demektir?,uygulama
arrangement ne demektir?,"düzenleme, ayarlama"
attachment ne demektir?,"ekli dosya, eklemek"
bill ne demektir?,fatura
blogger ne demektir?,blog yazarı
booking ne demektir?,"rezervasyon, yer ayırtma"
broken ne demektir?,"kesik, arızalı, bozuk"
browser ne demektir?,internet tarayıcısı
careful ne demektir?,dikkatli
chat ne demektir?,sohbet
check ne demektir?,kontrol etmek
click ne demektir?,tıklamak
comment ne demektir?,yorum
communicate ne demektir?,iletişim kurmak
communication ne demektir?,iletişim
confirm ne demektir?,onaylamak
connect ne demektir?,bağlanmak
connection ne demektir?,bağlantı
delete ne demektir?,silmek
diary ne demektir?,günlük
different ne demektir?,farklı
download ne demektir?,bilgisayara indirmek
education ne demektir?,eğitim
express ne demektir?,ifade etmek
file ne demektir?,dosya
find ne demektir?,bulmak
follow ne demektir?,takip etmek
forget ne demektir?,unutmak
habit ne demektir?,alışkanlık
icon ne demektir?,"ikon, simge"
important ne demektir?,önemli
influencer ne demektir?,etki sahibi
information ne demektir?,bilgi
interested in ne demektir?,ilgili olmak
join ne demektir?,katılmak
learn language ne demektir?,dil öğrenmek
letter ne demektir?,mektup / harf
log in ne demektir?,giriş yapmak
log on ne demektir?,oturum açmak
mean ne demektir?,anlamına gelmek
offline ne demektir?,çevrim dışı
online ne demektir?,çevrimiçi
opportunity ne demektir?,fırsat
password ne demektir?,şifre
pay ne demektir?,ödemek
post ne demektir?,"gönderi, ileti"
preferences ne demektir?,tercihler
purpose ne demektir?,"amaç, gaye"
register ne demektir?,kayıt olmak
reply ne demektir?,"yanıt, karşılık, cevap"
request ne demektir?,"istek, rica"
research ne demektir?,araştırmak
safety rules ne demektir?,güvenlik kuralları
same ne demektir?,aynı
screen ne demektir?,ekran
search engine ne demektir?,arama motoru
share ne demektir?,paylaşmak
sign in ne demektir?,giriş yapmak
sign up ne demektir?,kayıt olmak
smartphone ne demektir?,akıllı telefon
social networking site ne demektir?,sosyal ağ sitesi
spend ne demektir?,harcamak
story ne demektir?,"hikaye, öykü"
stranger ne demektir?,yabancı
text message ne demektir?,mesaj yazmak
ticket ne demektir?,bilet
travel ne demektir?,seyahat
upload ne demektir?,internete yüklemek
use ne demektir?,kullanmak
waste ne demektir?,boşa harcamak
website ne demektir?,internet sitesi
How do you say 'giriş yapmak' using three different English terms?,log in / log on / sign in
Which two English terms mean 'çıkış yapmak'?,log out / log off
Translate 'What do you mean?' to Turkish.,Neyi kastediyorsun?
Translate 'What do you mean by that exactly?' to Turkish.,Tam olarak neyi kastediyorsun?
Translate 'What does it mean?' to Turkish.,Bunun anlamı nedir?
Translate 'Can you explain what it means?' to Turkish.,Ne anlama geldiğini açıklar mısın?
The phrase 'I mean...' is translated to Turkish as _____.,Demek istediğim şey...
"The phrase 'In other words, ...' is translated to Turkish as _____.","Başka bir deyişle, ..."
Safety Rule: Avoid using _____ sites.,dangerous
Safety Rule: Be careful what you _____ on the net.,share
Safety Rule: Don't share your _____ information.,personal
Safety Rule: Refuse _____ people's friend request.,unknown
Safety Rule: Create a _____ password and keep it secret.,strong
Safety Rule: Don't _____ your online friends.,meet
Safety Rule: Don't _____ in all news on the internet.,believe
"Safety Rule: Before downloading a file, check it with an _____.",adult
Safety Rule: Obey the _____ safety rules.,internet
Why use the internet? (Turkish: arkadaşlara iletişim kurmak için): to keep in _____ with friends,touch
Why use the internet? (Turkish: online alışveriş yapmak için): to do online _____.,shopping
List three common entertainment activities on the internet mentioned in the summary.,"play games, listen to music, watch movies"
Why use the internet? (Turkish: bilgi aramak için): to search for _____.,information
Why use the internet? (Turkish: faturaları ödemek için): to pay the _____.,bills
Why use the internet? (Turkish: çevrimiçi kursları takip etmek için): to follow online _____.,courses
Why use the internet? (Turkish: yabancı dili geliştirmek için): to practice a foreign _____.,language
Question: Are you an internet addict? (Turkish translation):,İnternet bağımlısı mısın?
Question: How many device do you use to access the internet? (Turkish translation):,İnternete erişmek için kaç cihaz kullanıyorsun?
Question: How do you connect to the internet? (Turkish translation):,İnternete nasıl bağlanırsın?
Question: Which device do you use to connect to the internet? (Turkish translation):,İnternete bağlanmak için hangi cihazı kullanıyorsun?
Question: How many hours do you spend on the net? (Turkish translation):,İnternette kaç saat harcarsın?
Question: Why do you use the internet? (Turkish translation):,İnterneti neden kullanırsın?
