Question,Answer
İngilizce 'add' kelimesinin Türkçe karşılığı nedir?,eklemek
Unlu mamulleri fırında pişirmek için hangi İngilizce fiil kullanılır?,bake
İngilizce 'boil' kelimesinin Türkçe karşılığı nedir?,"kaynatmak, haşlamak"
Mutfakta kullanılan 'bowl' teriminin Türkçe karşılığı nedir?,kase
Sebzeleri doğramak anlamına gelen İngilizce fiil nedir?,chop
Yemek kültürünü ifade eden 'cuisine' kelimesinin Türkçe karşılığı nedir?,"yemek kültürü, mutfak"
İngilizce 'delicious' ve 'tasty' kelimelerinin ortak Türkçe karşılığı nedir?,lezzetli
Sebzeleri 'küp küp doğramak' için hangi İngilizce fiil kullanılır?,dice
Yemeğin içindeki 'malzemeler' anlamına gelen İngilizce kelime nedir?,ingredients
Hamur yoğurmak eylemi için kullanılan İngilizce fiil hangisidir?,knead
İngilizce 'peel' kelimesinin Türkçe karşılığı nedir?,soymak
Bir sıvıyı dökmek anlamına gelen İngilizce kelime nedir?,pour
Yemek tarifini ifade eden İngilizce kelime nedir?,recipe
İngilizce 'sour' kelimesinin tadı nedir?,ekşi
İngilizce 'spicy' kelimesinin Türkçe karşılığı nedir?,baharatlı
Çorba veya çayı karıştırmak için kullanılan İngilizce fiil hangisidir?,stir
İngilizce 'whisk' kelimesinin Türkçe karşılığı nedir?,"çırpmak, çırpma teli"
Kitchen Tools: 'Baking tray' ifadesinin Türkçe karşılığı nedir?,pişirme tepsisi
Kitchen Tools: 'Strainer' kelimesinin Türkçe karşılığı nedir?,süzgeç
Kitchen Tools: 'Tablespoon' ifadesinin Türkçe karşılığı nedir?,yemek kaşığı
Ingredients: 'Lentil' kelimesinin Türkçe karşılığı nedir?,mercimek
Ingredients: 'Yeast' kelimesinin Türkçe karşılığı nedir?,maya
Cooking Ways: Eti veya tavuğu fırında pişirmek için hangi kelime kullanılır?,roast
Cooking Ways: Buharda pişirmek anlamına gelen İngilizce kelime nedir?,steam
Tastes: Acı (tat) anlamına gelen İngilizce kelime nedir?,bitter
Connectors: Bir tarifin ilk adımını belirtmek için hangi ifade kullanılır?,First
Connectors: 'Ondan sonra' anlamına gelen sıralama bağlacı hangisidir?,After that
Connectors: Bir tarifin son adımını belirtmek için hangi ifade kullanılır?,Finally
Grammar: 'After' ve 'before' kelimeleri çeviriye girerken hangi cümleyi etkilerler?,Kendilerinden sonra gelen cümleyi.
Cloze Deletion: Wash the vegetables _____ you peel them. (Soymadan önce sebzeleri yıka.),before
Cloze Deletion: Add some flour _____ you crack three eggs. (Üç yumurta kırdıktan sonra biraz un ekle.),after
Questions: 'Bu yemeğin malzemeleri nelerdir?' sorusunun İngilizcesi nedir?,What are the ingredients of this meal?
Questions: 'Hazırlaması ne kadar sürer?' sorusunun İngilizcesi nedir?,How long does it take to prepare?
Questions: 'Nasıl pişirirsin?' sorusunun İngilizcesi nedir?,How do you cook it?
Kitchen Tools: 'Fırın' anlamına gelen İngilizce kelime nedir?,oven
Kitchen Tools: 'Tava' anlamına gelen İngilizce kelime nedir?,pan
Ingredients: 'Sarımsak' anlamına gelen İngilizce kelime nedir?,garlic
Ingredients: 'Zeytinyağı' anlamına gelen İngilizce ifade nedir?,olive oil
Process: 'Rendelemek' anlamına gelen İngilizce fiil nedir?,grate
Process: 'Dilimlemek' anlamına gelen İngilizce fiil nedir?,slice
Process: 'Sıkmak (su)' anlamına gelen İngilizce fiil nedir?,squeeze
Other Words: 'Ev yapımı' anlamına gelen İngilizce kelime nedir?,homemade
Other Words: 'Sağlıklı' ve 'Sağlıksız' kelimelerinin İngilizce karşılıkları nelerdir?,healthy / unhealthy
Imperatives: 'Yumurtayı kır' cümlesinin İngilizcesi nedir?,Crack the egg.
Imperatives: 'Sıcak servis etme' cümlesinin İngilizcesi nedir?,Don't serve hot.
Tastes: Yağlı anlamına gelen İngilizce kelimeler hangileridir?,"fatty, greasy"
Tastes: 'Tuzlu' anlamına gelen İngilizce kelime nedir?,salty
Spices: 'Karabiber' anlamına gelen İngilizce ifade nedir?,black pepper
Spices: 'Tuz' anlamına gelen İngilizce kelime nedir?,salt
Connectors: 'Second' bağlacının Türkçe karşılığı nedir?,ikinci olarak
Connectors: 'Next' ve 'Then' kelimelerinin Türkçe karşılığı nedir?,sonra / daha sonra
Ingredients: 'Un' anlamına gelen İngilizce kelime nedir?,flour
Process: 'Süzmek' anlamına gelen İngilizce fiil nedir?,drain
Process: 'Serpmek' anlamına gelen İngilizce fiil nedir?,sprinkle
Questions: 'Kek için kaç tane yumurtaya ihtiyacın var?' sorusunun İngilizcesi nedir?,How many eggs do you need for the cake?
Questions: 'Çorba için ne kadar tuza ihtiyacın var?' sorusunun İngilizcesi nedir?,How much salt do you need for the soup?
Kitchen Tools: 'Tencere' anlamına gelen İngilizce kelimeler hangileridir?,"pot, saucepan"
Ingredients: 'Nişasta' anlamına gelen İngilizce kelime nedir?,starch
Ingredients: 'Kıyma' anlamına gelen İngilizce kelime nedir?,mince
Other Words: 'Geleneksel' anlamına gelen İngilizce kelime nedir?,traditional
Other Words: 'Afiyet olsun' anlamına gelen İngilizce ifadeler nelerdir?,"enjoy the meal, bon appetit"
Ingredients: 'Karides' anlamına gelen İngilizce kelime nedir?,prawns
"Process: 'Sarmak, örtmek' anlamına gelen İngilizce fiil nedir?",wrap
Process: 'Tatlıya düşkün' anlamına gelen İngilizce ifade nedir?,sweet tooth
Other Words: 'Ilık' anlamına gelen İngilizce kelime nedir?,warm
