Question,Answer
"İngilizcede ""kanka, dost, yakın arkadaş"" anlamlarına gelen kelimeler nelerdir?","buddy, mate, close friend, best friend, true friend"
"Güvenmek"" anlamına gelen üç temel İngilizce fiil öbeği hangileridir?","count on, trust, rely on"
"Gamsız, rahat, umursamaz"" karakter özelliklerini tanımlamak için hangi İngilizce sıfatlar kullanılır?","laid back, relaxed"
"Full"" kelimesinin eş anlamlısı olan ve ""tok"" anlamına gelen kelime nedir?",stuffed
"Bir arkadaşa destek olmayı ifade eden ""arkasında durmak, desteklemek"" anlamındaki fiil öbekleri nelerdir?","back up, support"
"Biriyle iyi anlaşmak veya iyi ilişkilere sahip olmak"" anlamına gelen İngilizce ifade nedir?",get on well with someone (have a good relationship)
"Ortak ilgi alanlarına sahip olmak"" anlamına gelen ifade hangisidir?",have common / same / similar interests
Birine akşam için planı olup olmadığını sormak için hangi soru kalıbı kullanılır?,Do you have any plan for this evening?
"How about"" ve ""What about"" teklif yapılarından sonra gelen fiil hangi eki almalıdır?",-ing eki alır.
"Would you like to"" ve ""Do you want to"" davet kalıplarından sonra gelen fiil hangi haldedir?",Fiil yalın haldedir (V1).
"Why don't we..."" yapısından sonra fiil nasıl kullanılır?",Fiil her zaman yalın (ek almamış) halde kullanılır.
"Shall we..."" (Yapalım mı?) soru kalıbından sonra fiilin kullanım kuralı nedir?",Fiil herhangi bir ek almadan yalın halde kullanılır.
"Let's"" (Hadi) ile başlayan cümlelerin sonunda hangi noktalama işareti kullanılır?","Nokta kullanılır, çünkü bu bir soru cümlesi değildir."
"Teklifleri kabul ederken kullanılan ""Kulağa eğlenceli/harika geliyor"" ifadesinin İngilizcesi nedir?",That sounds fun / great / good.
"Bu şansı/fırsatı kaçıramam"" diyerek bir daveti kabul ederken hangi ifadeler kullanılabilir?",I can't miss this chance / opportunity.
"Bir teklifi ""Korkarım meşgulüm"" diyerek reddetmek için hangi cümle kurulur?",I'm afraid I'm busy.
"Reddetme mazereti olarak ""Çok isterdim ama kendimi hasta hissediyorum"" cümlesinin İngilizcesi nedir?",I would love to but I feel ill.
"Bir davetiyede davet edilen kişiyi belirten ""alıcı"" teriminin İngilizcesi nedir?",receiver
"Bir davetiyede daveti gönderen kişiyi belirten ""gönderen"" teriminin İngilizcesi nedir?",sender
"Davetiyedeki ""event"" kelimesi neyi ifade eder?",Etkinliği (davetin türünü).
"Davetiyedeki ""date"" ve ""time"" ifadeleri sırasıyla ne anlama gelir?",tarih ve saat
"Bir daveti reddederken sunulan ""mazeret"" kelimesinin İngilizce karşılığı nedir?",excuse
