"İngilizce'de ""kedi"" kelimesinin karşılığı nedir?",Cat
"İngilizce'de ""kuş"" kelimesinin karşılığı nedir?",Bird
"İngilizce'de ""inek"" kelimesinin karşılığı nedir?",Cow
"İngilizce'de ""ördek"" kelimesinin karşılığı nedir?",Duck
"İngilizce'de ""balık"" kelimesinin karşılığı nedir?",Fish
"İngilizce'de ""aslan"" kelimesinin karşılığı nedir?",Lion
"İngilizce'de ""keçi"" kelimesinin karşılığı nedir?",Goat
"İngilizce'de ""koyun"" kelimesinin karşılığı nedir?",Sheep
"İngilizce'de ""at"" kelimesinin karşılığı nedir?",Horse
"İngilizce'de ""tavşan"" kelimesinin karşılığı nedir?",Rabbit
"İngilizce'de ""panda"" kelimesinin karşılığı nedir?",Panda
"İngilizce'de ""yılan"" kelimesinin karşılığı nedir?",Snake
"İngilizce'de ""goril"" kelimesinin karşılığı nedir?",Gorilla
"İngilizce'de ""maymun"" kelimesinin karşılığı nedir?",Monkey
"İngilizce'de ""eşek"" kelimesinin karşılığı nedir?",Donkey
"İngilizce'de ""papağan"" kelimesinin karşılığı nedir?",Parrot
"İngilizce'de ""örümcek"" kelimesinin karşılığı nedir?",Spider
"İngilizce'de ""fil"" kelimesinin karşılığı nedir?",Elephant
"İngilizce'de ""dans etmek"" fiilinin karşılığı nedir?",Dance
"İngilizce'de ""zıplamak"" fiilinin karşılığı nedir?",Jump
"İngilizce'de ""tırmanmak"" fiilinin karşılığı nedir?",Climb
"İngilizce'de ""koşmak"" fiilinin karşılığı nedir?",Run
"İngilizce'de ""yürümek"" fiilinin karşılığı nedir?",Walk
"İngilizce'de ""yüzmek"" fiilinin karşılığı nedir?",Swim
"""Horse"" (at) kelimesinin çoğul hali (atlar) nedir?",Horses
"""Monkey"" (maymun) kelimesinin çoğul hali (maymunlar) nedir?",Monkeys
"""Elephant"" (fil) kelimesinin çoğul hali (filler) nedir?",Elephants
"""Sheep"" (koyun) kelimesinin çoğul hali nedir?",Sheep
"""What is this?"" sorusunun Türkçe karşılığı nedir?",Bu nedir?
"""This is a donkey"" cümlesinin Türkçe karşılığı nedir?",Bu bir eşektir.
"""What colour is it?"" sorusunun Türkçe karşılığı nedir?",O ne renktir?
"""It is grey and brown"" cümlesinin Türkçe karşılığı nedir?",O gri ve kahverengidir.
"""Where is the parrot?"" sorusunun Türkçe karşılığı nedir?",Papağan nerededir?
"""The parrot is on the tree"" cümlesindeki ""on the tree"" ifadesinin anlamı nedir?",Ağacın üzerinde.
"""What is your favorite animal?"" sorusunun Türkçe karşılığı nedir?",Senin en sevdiğin hayvan nedir?
"""How old is your cat?"" sorusunun Türkçe karşılığı nedir?",Kediniz kaç yaşında?
"""It is two years old"" cümlesindeki ""two"" sayısı kaça karşılık gelir?",2
"İngilizce'de ""Kaç tane ... var?"" sorusunu sormak için hangi yapı kullanılır?",How many ... are there?
"""There are two sheep"" cümlesinin Türkçe karşılığı nedir?",Orada iki tane koyun var.
"""Six yellow lions"" ifadesinin Türkçe karşılığı nedir?",Altı sarı aslan.
"İngilizce'de ""yeşil"" renginin karşılığı nedir?",Green
"Sevdiğimiz şeylerden bahsederken kullanılan ""I like"" yapısının Türkçe karşılığı nedir?",Severim.
"Sevmediğimiz şeylerden bahsederken kullanılan ""I don't like"" yapısının Türkçe karşılığı nedir?",Sevmem.
"""I like ducks"" cümlesinin Türkçe karşılığı nedir?",Ördekleri severim.
"""I don't like frogs"" cümlesindeki ""frogs"" kelimesinin Türkçe karşılığı nedir?",Kurbağalar.
İngilizce'de yapabildiğimiz (yetenek) şeylerden bahsederken kullanılan yapı nedir?,I can
İngilizce'de yapamadığımız şeylerden bahsederken kullanılan yapı nedir?,I can't
"""I can jump and climb"" cümlesinin Türkçe karşılığı nedir?",Zıplayabilirim ve tırmanabilirim.
"İngilizce'de zıtlık bildiren ""ama"" bağlacının karşılığı nedir?",But
"""I can run but I can't fly"" cümlesindeki ""fly"" fiilinin anlamı nedir?",Uçmak.
"""I am very big and grey"" cümlesindeki ""big"" kelimesinin Türkçe anlamı nedir?",Büyük.
"""Can you fly?"" sorusuna verilecek olumlu kısa cevap nedir?","Yes, I can."
"""Can you swim?"" sorusuna verilecek olumsuz kısa cevap nedir?","No, I can't."
"İngilizce'de ""muzlar"" kelimesinin karşılığı nedir?",Bananas
"""Eight monkeys"" ifadesindeki ""eight"" sayısı kaça karşılık gelir?",8
"""Yellow"" kelimesinin Türkçe karşılığı nedir?",Sarı
"İngilizce'de ""gri"" kelimesinin karşılığı nedir?",Grey
"İngilizce'de ""kahverengi"" kelimesinin karşılığı nedir?",Brown
"""I can walk but I can't jump"" cümlesinin öznesi olan hayvan hangisidir?",Elephant (Fil)
"""I can jump and climb"" cümlesinin öznesi olan hayvan hangisidir?",Monkey (Maymun)
"""One green snake"" ifadesinin Türkçe karşılığı nedir?",Bir yeşil yılan.
"İngilizce'de ""I can't swim"" cümlesinin Türkçe karşılığı nedir?",Yüzemem.
"""Can you swim?"" sorusunun Türkçe karşılığı nedir?",Yüzebilir misin?
"""Can you fly?"" sorusunun Türkçe karşılığı nedir?",Uçabilir misin?
"""I like cows"" cümlesinin Türkçe karşılığı nedir?",İnekleri severim.
