İngilizcede 'Board' kelimesinin Türkçe karşılığı nedir?,Yazı tahtası
İngilizcede 'Book' kelimesinin Türkçe karşılığı nedir?,Kitap
İngilizcede 'Chair' kelimesinin Türkçe karşılığı nedir?,Sandalye
İngilizcede 'Crayon' kelimesinin Türkçe karşılığı nedir?,Boya kalemi
İngilizcede 'Desk' kelimesinin Türkçe karşılığı nedir?,Sıra
İngilizcede 'Eraser' kelimesinin Türkçe karşılığı nedir?,Silgi
İngilizcede 'Notebook' kelimesinin Türkçe karşılığı nedir?,Defter
İngilizcede 'Paper' kelimesinin Türkçe karşılığı nedir?,Kağıt
İngilizcede 'Pen' kelimesinin Türkçe karşılığı nedir?,Tükenmez kalem
İngilizcede 'Pencil' kelimesinin Türkçe karşılığı nedir?,Kurşun kalem
İngilizcede 'Pencil case' kelimesinin Türkçe karşılığı nedir?,Kalem kutusu
İngilizcede 'Pencil sharpener' kelimesinin Türkçe karşılığı nedir?,Kalemtıraş
İngilizcede 'Ruler' kelimesinin Türkçe karşılığı nedir?,Cetvel
İngilizcede 'School bag' kelimesinin Türkçe karşılığı nedir?,Okul çantası
İngilizcede 'Scissors' kelimesinin Türkçe karşılığı nedir?,Makas
İngilizcede 1 sayısı nasıl yazılır?,One
İngilizcede 2 sayısı nasıl yazılır?,Two
İngilizcede 3 sayısı nasıl yazılır?,Three
İngilizcede 4 sayısı nasıl yazılır?,Four
İngilizcede 5 sayısı nasıl yazılır?,Five
İngilizcede 6 sayısı nasıl yazılır?,Six
İngilizcede 7 sayısı nasıl yazılır?,Seven
İngilizcede 8 sayısı nasıl yazılır?,Eight
İngilizcede 9 sayısı nasıl yazılır?,Nine
İngilizcede 10 sayısı nasıl yazılır?,Ten
İngilizcede 'How old?' sorusunun anlamı nedir?,Kaç yaşında?
İngilizcede 'How many?' sorusunun anlamı nedir?,Kaç tane?
İngilizcede 'Numbers' kelimesinin anlamı nedir?,Sayılar
Birisinin yaşını sorarken kullanılan tam soru cümlesi nedir?,How old are you?
Yaş sorusuna 'I am eight years old' şeklinde verilen cevap ne tür bir cevaptır?,Uzun Cevap
Yaş sorusuna 'I am eight' şeklinde verilen cevap ne tür bir cevaptır?,Kısa Cevap
Bir nesnenin sayısını öğrenmek için sorulan kısa soru kalıbı nedir?,How many [nesne]?
Bir nesnenin sayısını 'Kaç tane kitap var?' şeklinde sormak için hangi tam cümle kullanılır?,How many books are there?
"Bir nesnenin sayısını söylerken önce _____, sonra nesneyi söyleriz.",sayıyı
İngilizcede 'İki kitap' ifadesinin karşılığı nedir?,Two books
İngilizcede saydığımız nesne birden fazla ise kelimenin sonuna hangi harf eklenir?,-s
İngilizcede 'Bir kitap' ifadesi belirsiz bir nesne için nasıl söylenir?,A book
Türkçesi 'Yazı tahtası' olan eşyanın İngilizcesi nedir?,Board
Türkçesi 'Sandalye' olan eşyanın İngilizcesi nedir?,Chair
Türkçesi 'Boya kalemi' olan eşyanın İngilizcesi nedir?,Crayon
Türkçesi 'Sıra' olan eşyanın İngilizcesi nedir?,Desk
Türkçesi 'Silgi' olan eşyanın İngilizcesi nedir?,Eraser
Türkçesi 'Kağıt' olan eşyanın İngilizcesi nedir?,Paper
Türkçesi 'Kalemtıraş' olan eşyanın İngilizcesi nedir?,Pencil sharpener
Türkçesi 'Kalem kutusu' olan eşyanın İngilizcesi nedir?,Pencil case
İngilizcede 'How old are you?' sorusunun Türkçe karşılığı nedir?,Kaç yaşındasın?
İngilizcede 'I am eight years old' cümlesinin Türkçe anlamı nedir?,Ben sekiz yaşındayım.
İngilizcede 'How many books?' sorusunun Türkçe karşılığı nedir?,Kaç tane kitap?
Bir nesneden birden fazla varsa onu çoğul yapan 'Çoğul Makinesi' kuralı nedir?,Kelimenin sonuna '-s' eklemek.
İngilizcede 'Six crayons' ifadesinin Türkçe anlamı nedir?,Altı boya kalemi
İngilizcede 'A school bag' ifadesinin Türkçe anlamı nedir?,Bir okul çantası
İngilizce sayı basamaklarında 'One'dan sonra hangi sayı gelir?,Two
İngilizce sayı basamaklarında 'Four'dan sonra hangi sayı gelir?,Five
İngilizce sayı basamaklarında 'Seven'dan sonra hangi sayı gelir?,Eight
İngilizce sayı basamaklarında 'Nine'dan sonra hangi sayı gelir?,Ten
İngilizcede 'Eight' sayısının Türkçe karşılığı nedir?,Sekiz
İngilizcede 'Three' sayısının Türkçe karşılığı nedir?,Üç
Soru: 'How many ____?' Cevap: 'Six crayons'.,crayons
İngilizcede 'Kaç tane kitap var?' sorusuna 'İki kitap' olarak nasıl cevap verilir?,Two books
İngilizcede 'Ben sekizim' anlamına gelen kısa cevap nedir?,I am eight.
