"""Apple juice"" kelimesinin Türkçe karşılığı nedir?",Elma suyu
"""Bagel"" kelimesinin Türkçe karşılığı nedir?",Simit
"""Baked bean"" kelimesinin Türkçe karşılığı nedir?",Fırınlanmış fasulye
"""Blueberry"" kelimesinin Türkçe karşılığı nedir?",Yaban mersini
"""Boiled egg"" kelimesinin Türkçe karşılığı nedir?",Haşlanmış yumurta
"""Bon appetit"" ifadesinin Türkçe karşılığı nedir?",Afiyet olsun
"""Bread"" kelimesinin Türkçe karşılığı nedir?",Ekmek
"""Breakfast"" kelimesinin Türkçe karşılığı nedir?",Kahvaltı
"""Butter"" kelimesinin Türkçe karşılığı nedir?",Tereyağ
"""Cereal"" kelimesinin Türkçe karşılığı nedir?","Tahıl gevreği, mısır gevreği"
"""Cheese"" kelimesinin Türkçe karşılığı nedir?",Peynir
"""Cherry"" kelimesinin Türkçe karşılığı nedir?","Vişne, kiraz"
"""Coffee"" kelimesinin Türkçe karşılığı nedir?",Kahve
"""Cookie"" kelimesinin Türkçe karşılığı nedir?",Kurabiye
"""Croissant"" kelimesinin Türkçe karşılığı nedir?","Kruvasan, ay çöreği"
"""Cucumber"" kelimesinin Türkçe karşılığı nedir?",Salatalık
"""Delicious"" kelimesinin Türkçe karşılığı nedir?",Lezzetli
"""Dinner"" kelimesinin Türkçe karşılığı nedir?",Akşam yemeği
"""Drink"" kelimesinin Türkçe karşılığı nedir?","İçmek, içecek"
"""Eat"" kelimesinin Türkçe karşılığı nedir?",Yemek yemek
"""Egg"" kelimesinin Türkçe karşılığı nedir?",Yumurta
"""Favorite"" kelimesinin Türkçe karşılığı nedir?",En sevdiğim
"""Fish"" kelimesinin Türkçe karşılığı nedir?",Balık
"""Food"" kelimesinin Türkçe karşılığı nedir?",Yiyecek
"""Fresh"" kelimesinin Türkçe karşılığı nedir?",Taze
"""Fried egg"" kelimesinin Türkçe karşılığı nedir?",Kızarmış yumurta
"""Fruit juice"" kelimesinin Türkçe karşılığı nedir?",Meyve suyu
"""Healthy"" kelimesinin Türkçe karşılığı nedir?",Sağlıklı
"""Honey"" kelimesinin Türkçe karşılığı nedir?",Bal
"""Hungry"" kelimesinin Türkçe karşılığı nedir?","Aç, acıkmak"
"""It's all gone"" ifadesinin Türkçe karşılığı nedir?",Hepsi bitti
"""Jam"" kelimesinin Türkçe karşılığı nedir?",Reçel
"""Junk food"" kelimesinin Türkçe karşılığı nedir?",Abur cubur
"""Keep away"" ifadesinin Türkçe karşılığı nedir?",Uzak tutmak
"""Lunch"" kelimesinin Türkçe karşılığı nedir?",Öğle yemeği
"""Meal"" kelimesinin Türkçe karşılığı nedir?","Öğün, yemek"
