Question,Answer
Shirt ne demektir?,Gömlek
T-shirt ne demektir?,Tişört
Dress ne demektir?,Elbise
Jacket ne demektir?,Ceket
Coat ne demektir?,Kaban
Hat ne demektir?,Şapka
Socks ne demektir?,Çorap
Trousers ne demektir?,Pantolon
Sweater ne demektir?,Kazak
Gloves ne demektir?,Eldiven
Shoes ne demektir?,Ayakkabı
Boots ne demektir?,Bot
Sunglasses ne demektir?,Güneş gözlüğü
Umbrella ne demektir?,Şemsiye
Sunny ne demektir?,Güneşli
Rainy ne demektir?,Yağmurlu
Cloudy ne demektir?,Bulutlu
Snowy ne demektir?,Karlı
Windy ne demektir?,Rüzgarlı
Hot ne demektir?,Sıcak
Cold ne demektir?,Soğuk
"""What is the weather like today?"" ne demektir?",Bugün hava nasıl?
Spring ne demektir?,İlkbahar
Summer ne demektir?,Yaz
Autumn ne demektir?,Sonbahar
Winter ne demektir?,Kış
"""Today is sunny."" ne demektir?",Bugün hava güneşli.
"""I wear my boots in winter."" ne demektir?",Kışın botlarımı giyerim.
"""I need an umbrella."" ne demektir?",Bir şemsiyeye ihtiyacım var.
"""Can I take your hat?"" ne demektir?",Şapkanı alabilir miyim?
