Question,Answer
Turkey hangi ülkedir?,Türkiye
Turkish ne demektir?,Türk
England hangi ülkedir?,İngiltere
English ne demektir?,İngiliz
Germany hangi ülkedir?,Almanya
German ne demektir?,Alman
Spain hangi ülkedir?,İspanya
Spanish ne demektir?,İspanyol
The USA hangi ülkedir?,Amerika
American ne demektir?,Amerikalı
France hangi ülkedir?,Fransa
French ne demektir?,Fransız
Japan hangi ülkedir?,Japonya
Japanese ne demektir?,Japon
China hangi ülkedir?,Çin
Chinese ne demektir?,Çinli
Italy hangi ülkedir?,İtalya
Italian ne demektir?,İtalyan
Russia hangi ülkedir?,Rusya
Russian ne demektir?,Rus
Iraq hangi ülkedir?,Irak
Iraqi ne demektir?,Iraklı
Iran hangi ülkedir?,İran
Iranian ne demektir?,İranlı
"""Where are you from?"" ne demektir?",Nerelisin?
"""I am from Turkey."" ne demektir?",Ben Türkiye'denim.
"""I am Turkish."" ne demektir?",Ben Türküm.
"""Where is he from?"" ne demektir?",O nereli?
"""Where is she from?"" ne demektir?",O nereli?
"""Are you Turkish?"" ne demektir?",Türk müsün?
