Question,Answer
Teacher ne demektir?,Öğretmen
Doctor ne demektir?,Doktor
Nurse ne demektir?,Hemşire
Vet ne demektir?,Veteriner
Farmer ne demektir?,Çiftçi
Postman ne demektir?,Postacı
Singer ne demektir?,Şarkıcı
Policeman ne demektir?,Polis
Fireman ne demektir?,İtfaiyeci
Chef ne demektir?,Aşçı
Dentist ne demektir?,Diş hekimi
Engineer ne demektir?,Mühendis
Baker ne demektir?,Fırıncı
Florist ne demektir?,Çiçekçi
School ne demektir?,Okul
Hospital ne demektir?,Hastane
Airport ne demektir?,Havaalanı
Restaurant ne demektir?,Restoran
Police station ne demektir?,Polis merkezi
Post office ne demektir?,Postane
"""What is your job?"" ne demektir?",Mesleğin nedir?
"""Where do you work?"" ne demektir?",Nerede çalışıyorsun?
"""I am a teacher."" ne demektir?",Ben öğretmenim.
"""I work at a school."" ne demektir?",Bir okulda çalışıyorum.
"""What do you like?"" ne demektir?",Neyi seversin?
"""I like teaching children."" ne demektir?",Çocuklara öğretmeyi severim.
Postacı nerede çalışır?,Postanede çalışır.
Hemşire nerede çalışır?,Hastanede çalışır.
Pilot nerede çalışır?,Havaalanında çalışır.
Aşçı nerede çalışır?,Restoranda çalışır.
