Question,Answer
Cup ne demektir?,Fincan
Glass ne demektir?,Bardak
Bottle ne demektir?,Şişe
Jar ne demektir?,Kavanoz
Tube ne demektir?,Tüp
Goggles ne demektir?,Gözlük
Plant ne demektir?,Bitki
Flower ne demektir?,Çiçek
Lab ne demektir?,Laboratuvar
Experiment ne demektir?,Deney
Near ne demektir?,Yanında
In front of ne demektir?,Önünde
Behind ne demektir?,Arkasında
Under ne demektir?,Altında
"""Where is ... ?"" ne demektir?",Nerede?
"""The goggles are in the box."" ne demektir?",Gözlükler kutunun içindedir.
"""The toy car is under the table."" ne demektir?",Oyuncak araba masanın altındadır.
"""The pencil is on the paper."" ne demektir?",Kalem kağıdın üzerindedir.
"""It is near the bottle."" ne demektir?",Şişenin yanındadır.
"""It is behind the box."" ne demektir?",Kutunun arkasındadır.
"""It is on the chair."" ne demektir?",Sandalyenin üzerindedir.
"""Cut the paper."" ne demektir?",Kağıdı kes.
"""Water the flowers."" ne demektir?",Çiçekleri sula.
"""Colour the picture."" ne demektir?",Resmi boya.
"""Fold the paper."" ne demektir?",Kağıdı katla.
"""Shake the bottle."" ne demektir?",Şişeyi salla.
"""Mix blue and red."" ne demektir?",Mavi ve kırmızıyı karıştır.
"""Do an experiment."" ne demektir?",Deney yap.
"""What is deney in English?"" sorusunun cevabı nedir?",Experiment
"""What is scientist in Turkish?"" sorusunun cevabı nedir?",Bilim insanı
